Textbox1,Brand_Name,subject_name1,sa,NM_ID,Barcode,ts_name,Quantity_ForSale_Other,Quantity_ForSale_Novosib,Quantity_ForSale_Khabarovsk,Quantity_ForSale_Krasnodar,Quantity_ForSale_Ekaterinburg,Quantity_ForSale_SPb,price_ru,discount,price_ru_discount
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE-9851-269/KHAKI,9063651,2000140649204,0,3,1,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DEA-323/BLACK,8394804,2000110609115,0,4,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DEA-368/KHAKI,7963612,2000090160088,0,2,1,,1,,,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE-K-22/PURPLE,8897172,2000133786008,0,2,1,,,,1,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE0077/PEARL_BLUE,7819112,2000079694009,0,4,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-0079/WHITE,8374697,2000108696332,0,4,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-014/GREY,9802084,2000173803079,0,4,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-014/RED,9802086,2000173803093,0,4,,,,,,5 850,35,3 802
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE0329/BEIGE,8393508,2000111558047,0,2,1,,1,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-1005/SILVER-WHITE,8297684,2000103918927,0,4,,,,,,5 850,35,3 802
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE1062/GRAY,8356163,2000106612006,0,4,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE112-82/BLACK,8537083,2000116748160,0,3,,,,,1,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE112-93/PEARLY-WHITE,8541181,2000116748115,0,3,,,1,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE114/BEIGE,8467844,2000115098068,0,4,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE114/SILVER-WHITE,8467706,2000115098082,0,2,,,,,2,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE114/TARO-PURPLE,8467547,2000115098099,0,3,,,,,1,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-114-19/P-GREY,8540509,2000116749310,0,3,1,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE1257/PURPLE,8018479,2000094605141,0,3,1,,,,,6 300,45,3 465
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-1290/GREEN-W-354,8687053,2000123494081,0,4,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-1903/SILVER-WHITE,8296032,2000103918644,0,2,1,,,1,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-2002/D-PURPLE,9468147,2000158695262,0,4,,,,,,6 300,35,4 095
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-2002/MAROON,9468066,2000158695231,0,2,,,1,,1,6 300,45,3 465
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE2025/GOLD-GREEN,8467699,2000115098037,0,4,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE2030/BEIGE-5,8433614,2000113591639,0,3,,,,,1,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE2087/BLUE,7857376,2000086329260,0,2,1,,1,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE2087/PURPLE,7857823,2000086329291,0,1,,1,1,1,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE2088/GREEN,8103116,2000098261084,0,4,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE2803/PURPLE,7636715,2000078680256,0,3,,1,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE3148/BLACK,8240810,2000102511143,0,3,1,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE3332/PURPLE,8103570,2000098261190,0,3,1,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE3381/GREY,8061449,2000095926283,0,1,,1,1,,1,6 300,45,3 465
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE3381/WHITE,8062089,2000095926313,0,3,,,,,1,6 300,45,3 465
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE372/62,7826621,2000086475493,0,4,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE372/L-GREEN,7826626,2000086475523,0,4,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE372/PURPLE,7826627,2000086475561,0,3,,,,,1,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-5020/BITIN-ASH,8668696,2000123475462,0,3,1,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-5021/BLACK,8685033,2000123494661,0,4,,,,,,6 975,35,4 533
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-5021/DOUBLE-PURPLE,8684825,2000123494630,0,1,1,,,,2,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE5061/SILVER-55,8601398,2000120896031,0,4,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE713/PURE-738,8442689,2000113591103,0,3,,,1,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-739/D-PURPLE,8950655,2000135499241,0,4,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE77/I-GREEN-1745,10258699,2000205554023,0,3,,,,,1,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8611-1/DOUBLE-BROWN,8856597,2000132256021,0,3,,,1,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8611-1/I-GREEN-SKIN,10231133,2000203103087,0,4,,,,,,5 850,45,3 217
